Gene Name	Distal101	Distal102	Distal103	Distal104	Distal2D001	Distal2D002	Distal2D003	Distal2fusion01	Distal2fusion02	Distal2fusion03	Distal2fusion04	Distal301	Distal302	Distal303	Distal304	Proximal101	Proximal102	Proximal103	Proximal104	Proximal2D001	Proximal2D002	Proximal2D003	Proximal2fusion01	Proximal2fusion02	Proximal2fusion03	Proximal2fusion04	Proximal301	Proximal302	Proximal303	Proximal304
si:ch211-5k11.8	33.362	33.579	33.564	33.679	32.186	32.893	32.975	33.478	33.287	33.286	33.259	32.496	32.511	32.598	33.152	33.245	32.629	32.745	32.931	33.227	33.203	33.188	32.935	33.084	33.372	33.274	33.114	32.678	33.141	33.131
BX470141.1	22.2	22.239	22.458	22.431	22.077	21.151	22.305	20.543	20.364	20.366	21.182	23.478	21.927	23.262	20.56	22.007	21.384	24.101	22.491	21.477	21.048	21.667	21.835	22.592	20.346	20.258	21.822	20.93	21.524	20.256
si:dkey-23p11.2	21.104	21.153	23.421	22.871	22.147	23.22	21.111	19.871	20.042	20.044	20.759	21.879	20.158	19.464	20.526	21.957	21.942	22.73	21.867	21.356	21.596	20.454	19.846	22.125	20.037	20.398	20.767	21.056	23.145	21.356
prkcdb	21.98	22.022	22.685	23.295	22.439	21.292	21.888	24.822	22.095	22.603	22.64	26.85	25.897	25.184	25.631	22.88	24.934	24.613	24.167	22.79	24.517	18.846	23.18	19.677	20.967	24.211	24.41	24.563	24.837	24.716
mllt4a	22.489	22.526	22.209	22.534	20.827	21.779	21.092	23.407	23.157	23.572	23.612	23.409	21.15	23.255	23.461	22.962	21.892	22.857	23.353	21.06	20.419	21.901	20.477	22.673	19.785	22.458	21.299	22.682	22.723	22.171
	26.216	25.535	25.838	25.181	26.44	27.094	21.014	25.666	24.943	25.251	25.581	25.936	25.509	25.775	25.526	24.173	22.831	25.928	25.328	25.381	25.31	25.617	24.649	25.475	25.73	25.396	25.757	25.572	25.341	25.409
plecb	31.635	31.604	31.354	31.545	31.923	31.997	31.932	32.554	32.568	32.464	32.576	31.836	31.838	31.766	31.773	31.004	31.032	30.779	31.187	31.96	31.865	31.953	32.058	32.323	32.374	32.479	31.538	31.634	31.572	31.565
zc3h7b	21.684	21.728	21.098	22.51	22.456	21.377	22.726	20.191	20.166	20.168	20.945	20.1	21.83	22.748	22.111	22.985	22.915	23.536	23.028	21.662	21.808	21.567	19.941	20.738	20.541	21.323	21.163	22.446	22.633	20.17
cttn	23.073	24.942	21.987	21.728	24.847	24.727	24.858	25.771	25.378	25.192	25.788	24.713	25.438	24.955	25.457	23.511	22.938	25.182	24.963	24.931	20.625	24.283	25.352	24.558	25.168	25.598	24.928	24.712	23.47	24.617
pdlim7	23.556	23.105	22.503	22.692	21.832	21.549	20.991	22.562	22.43	20.242	19.656	21.097	20.178	20.683	21.827	21.847	23.473	23.221	22.406	20.576	19.059	21.448	21.87	22.206	22.02	22.876	21.69	21.899	21.471	21.629
si:ch211-153b23.5	26.129	26.768	26.939	26.791	21.372	22.313	20.444	19.225	20.24	21.943	22.069	23.608	23.907	24.512	24.029	21.704	21.779	24.772	23.277	21.793	22.035	21.156	19.779	19.423	21.129	20.62	24.904	23.877	24.086	24.449
gab2	22.179	23.584	21.686	22.353	21.91	20.845	21.296	21.484	21.939	21.175	21.213	24.015	21.907	23.451	20.026	21.905	21.634	22.752	23.219	19.64	21.71	21.75	20.505	20.644	21.893	19.58	21.406	21.259	20.283	21.082
	22.388	22.219	23.094	23.334	22.066	21.438	21.756	22.366	22.416	22.57	22.779	23.357	23.514	22.845	23.499	22.178	21.838	22.053	21.864	21.687	21.594	22.372	20.722	23.201	20.151	22.257	20.006	22.947	21.386	23.005
si:dkey-261m9.12	23.186	24.652	24.72	24.383	26.574	22.197	21.496	23.02	22.68	20.087	22.946	22.739	23.142	22.421	22.702	24.08	22.116	22.297	22.73	22.258	21.309	20.677	21.089	19.327	20.288	21.908	21.256	22.771	20.197	22.722
si:ch211-201o1.1	21.163	22.426	23.584	22.584	22.482	22.065	20.169	22.475	23.099	22.841	23.031	24.093	24.262	24.228	24.235	21.979	21.914	22.477	22.46	19.951	21.888	21.878	20.533	20.947	20.292	21.654	23.924	23.752	22.883	20.578
slc36a1	22.081	23.217	22.188	22.099	21.556	22.788	20.007	19.998	21.172	22.652	19.473	20.361	20.756	21.033	21.036	22.515	22.459	21.846	22.75	20.502	20.843	19.754	20.847	20.34	21.227	19.606	21.23	20.312	21.659	21.904
myo1c	23.003	21.211	22.4	20.968	22.462	24.997	25.43	25.863	25.522	26.12	25.821	26.743	26.568	26.463	26.723	24.038	24.01	24.171	22.461	25.231	25.689	25.383	25.202	26.032	26.165	25.183	25.914	26.594	26.84	25.298
nol6	23.693	22.121	23.209	21.873	22.62	22.161	22.053	21.517	20.085	20.42	21.188	21.781	21.384	21.984	21.728	22.648	22.594	23.348	22.399	21.176	22.013	21.774	19.268	19.781	20.516	20.255	21.788	22.201	21.111	21.157
pkma	22.367	23.035	21.157	22.398	24.177	20.589	20.437	20.27	22.647	21.069	20.69	24.513	23.993	24.296	23.405	22.777	22.726	23.02	22.727	21.93	22.223	21.761	20.386	21.253	19.465	19.703	24.653	24.762	24.39	24.221
rp1l1a	21.905	23.72	23.023	21.567	22.039	21.826	21.706	24.263	20.418	24.074	21.019	20.12	21.784	21.945	20.047	23.146	23.102	23.271	22.405	20.882	19.944	20.061	22.331	24.807	25.983	19.537	21.499	24.468	21.935	20.66
plcd4b	23.229	22.405	23.723	23.001	21.941	22.272	21.401	21.181	21.863	20.641	19.86	23.072	22.671	19.991	22.395	22.67	22.617	23.213	21.807	20.352	21.911	20.605	21.792	21.739	19.491	22.084	19.829	20.927	21.186	21.33
	21.288	23.924	22.378	23.5	20.696	21.582	21.135	23.853	23.872	23.412	23.675	21.858	21.23	23.641	22.802	21.962	21.896	21.844	22.786	24.446	22.46	21.27	23.291	23.295	23.884	24.035	19.462	23.231	20.912	23.503
	21.189	21.947	26.367	25.989	22.558	21.417	22.571	23.106	21.066	20.829	19.817	21.332	21.646	21.726	21.806	25.627	25.913	22.719	26.214	24.246	20.242	22.014	20.035	21.76	20.148	20.284	26.378	25.756	26.488	21.851
rilp	23.073	23.26	23.932	22.078	21.702	22.12	20.89	20.421	20.638	19.52	19.578	21.735	20.976	20.724	19.711	22.209	22.147	22.446	22.5	22.246	20.772	20.979	21.365	20.119	19.59	20.507	20.94	20.424	20.688	22.528
	21.737	25.199	21.91	22.294	22.545	22.557	21.78	24.253	23.342	22.911	22.9	23.998	23.877	23.365	23.72	22.391	25.355	22.739	22.452	23.067	23.073	22.326	23.444	23.3	23.555	23.64	22.848	24.3	23.556	24.677
strn4	21.552	21.335	23.669	23.118	21.682	22.172	21.041	20.101	22.164	21.515	22.205	23.27	21.486	20.691	21.274	21.752	22.334	22.447	22.833	21.82	21.42	21.905	20.236	24.234	19.421	20.317	20.899	20.273	21.36	20.984
sec24b	22.656	21.237	23.252	21.028	22.732	21.049	21.704	20.224	20.826	21.97	20.452	21.177	19.629	21.964	21.681	24.11	21.682	22.384	22.837	20.766	22.145	20.865	20.806	19.871	20.177	20.312	20.569	19.625	21.882	19.305
pla2g4f.1	21.675	23.105	21.284	21.976	22.021	21.388	20.822	20.298	19.52	21.101	21.497	22.997	20.272	22.835	21.117	23.275	24.082	22.715	22.115	19.934	21.137	20.044	20.66	20.615	20.402	20.636	22.778	22.447	22.562	21.109
	22.49	21.781	21.184	22.928	22.233	22.07	21.757	21.986	22.942	22.799	23.097	21.596	20.837	20.202	21.54	22.942	23.233	22.722	23.839	21.01	22.449	21.106	21.225	21.194	20.206	19.01	21.304	20.953	21.013	21.938
zgc:101000	26.359	24.641	23.094	25.461	23.123	22.336	21.791	21.224	21.966	19.335	19.978	24.665	25.359	24.895	20.859	25.657	22.894	22.39	21.544	21.623	22.039	21.71	20.901	20.604	20.532	20.161	22.235	21.156	21.138	21.308
dnajb6a	23.783	21.597	21.74	24.213	22.275	22.667	20.594	23.932	23.457	22.88	23.533	23.041	23.526	23.549	21.378	22.304	22.244	21.786	22.963	19.949	21.026	20.059	22.423	21.946	23.351	22.158	21.863	20.979	21.969	20.376
LOC100538129	32.874	32.747	32.711	33.154	33.662	33.832	33.941	34.445	34.49	34.207	34.364	33.251	33.292	33.268	33.589	32.952	32.798	32.672	32.856	33.921	33.886	33.833	34.245	34.058	34.225	34.08	33.263	33.151	33.227	33.225
LOC557266	23.154	22.691	21.552	23.641	22	21.051	22.278	20.144	21.098	21.075	20.443	23.858	20.762	21.19	19.488	23.197	23.153	22.775	20.253	20.358	20.226	20.463	20.92	20.231	18.889	22.165	23.105	21.273	23.623	24.03
LOC101882042	22.182	21.719	22.671	22.272	21.967	22.328	20.813	22.69	19.335	20.57	22.034	20.923	22.014	21.867	20.143	23.138	23.093	22.487	22.274	22.147	21.26	22.228	19.423	20.37	20.053	19.8	21.561	19.793	21.338	22.235
fdx1	24.102	24.306	23.742	23.854	23.132	21.89	22.111	20.474	21.072	19.104	21.509	23.561	23.769	23.812	22.751	21.749	21.68	22.438	23.157	21.115	21.515	22.522	20.76	24.621	25.06	24.147	25.169	24.165	24.497	24.349
ppp1cc	21.865	22.527	24.396	21.795	23.748	23.885	22.693	23.325	23.272	22.615	25.155	25.865	25.811	26.343	25.372	24.405	22.583	25.342	24.802	22.549	21.055	21.11	23.231	23.078	23.501	23.931	25.16	25.12	25.43	25.483
si:dkey-164f24.2	24.238	23.186	21.677	23.162	22.415	22.131	21.03	21.119	20.568	22.403	20.647	21.435	22.106	20.222	20.718	25.789	22.301	22.823	23.008	20.733	21.849	22.67	20.732	21.715	22.078	21.17	26.057	25.458	25.675	25.651
	21.879	22.221	22.503	21.157	22.846	21.771	23.12	23.233	23.693	23.364	23.167	23.208	23.924	23.236	20.642	22.637	22.302	22.827	23.015	20.999	20.634	20.832	22.957	22.929	23.229	23.174	21.807	22.666	23.874	20.399
rptor	23.42	21.908	23.177	21.055	22.072	21.844	21.173	20.694	20.483	20.485	19.649	22.897	21.002	21.944	21.915	22.36	22.238	22.097	23.36	21.697	22.354	21.733	21.329	21.29	21.073	20.007	22.623	22.641	22.267	20.981
LOC100005323	22.307	21.921	22.191	23.001	22.047	22.147	21.665	20.881	20.902	20.904	20.403	19.568	20.639	21.423	22.008	22.657	22.58	23.84	22.821	21.174	20.994	21.095	19.828	20.591	19.897	20.594	21.549	20.513	20.426	20.486
LOC565130	24.185	23.45	21.87	21.622	21.251	20.47	21.258	19.582	19.727	21.079	20.885	20.215	22.271	21.822	20.885	22.361	22.586	21.52	22.104	20.306	21.871	21.784	21.02	19.556	20.846	20.929	20.759	21.76	21.01	20.337
tprb	22.951	22.346	23.338	21.43	22.233	22.166	21.433	22.19	21.199	22.128	23.549	23.697	24.008	23.451	23.367	22.297	23.821	22.954	22.374	19.966	21.25	21.268	22.176	23.223	20.88	21.784	22.959	22.97	22.89	23.021
tom1l2	22.814	24.547	21.803	22.57	21.888	21.516	22.204	22.013	19.683	19.728	20.907	22.659	21.943	23.197	22.525	26.737	22.244	20.215	22.188	20.864	21.921	20.411	19.234	21.62	20.49	20.444	22.332	20.701	22.505	21.007
entpd5a	23.167	22.984	23.447	22.399	22.122	21.598	21.32	25.812	25.897	25.754	25.85	23.175	20.076	21.27	20.516	22.64	21.62	23.15	22.913	23.476	20.583	23.404	25.342	25.582	25.648	22.661	21.13	24.594	24.554	21.207
ipo9	21.982	22.848	22.318	23.085	21.63	21.76	22.086	19.398	20.327	19.442	21.253	24.163	21.886	21.684	20.761	22.303	22.641	23	22.846	21.307	20.257	20.076	18.84	19.581	20.338	21.025	24.228	24.854	22.886	22.007
arhgap35a	21.979	23.199	22.971	21.754	20.478	22.192	21.954	21.125	21.386	20.329	21.577	23.199	23.236	23.57	22.541	22.694	22.293	23.007	21.581	20.799	21.546	20.962	20.422	20.228	20.926	20.711	22.271	23.846	23.476	22.71
fam169ab	26.072	23.103	25.756	21.768	21.399	21.229	22.684	23.189	23.131	23.074	23.192	22.524	22.514	22.054	22.402	23.036	22.691	27.326	22.309	23.805	23.509	24.787	23.911	24.279	24.455	24.41	24.235	23.947	23.558	24.622
huwe1	22.365	22.023	22.832	23.36	21.934	22.336	22.051	25.923	25.403	25.462	24.972	25.468	25.102	25.666	25.676	22.401	22.695	23.356	21.928	21.168	20.113	21.399	26.167	24.935	24.871	24.861	25.179	25.292	24.89	25.336
nampta	21.986	22.02	27.38	22.21	26.422	27.4	20.462	25.828	26.191	26.287	26.261	26.975	26.516	26.986	26.477	26.999	21.941	26.572	21.5	19.254	21.058	24.57	27.02	25.427	24.971	25.265	26.328	26.171	27.474	26.295
ecm1b	22.096	22.403	23.424	24.149	21.088	22.247	21.711	22.229	22.326	21.389	19.778	20.783	21.094	21.017	22.177	22.352	23.741	22.811	24.364	21.371	21.413	19.928	20.377	19.678	22.539	22.309	20.678	21.235	20.514	23.562
srpx2	22.7	22.027	23.19	22.875	22.547	21.732	22.163	23.042	23.188	22.277	22.502	22.845	20.674	21.525	22.752	22.742	21.346	22.085	23.067	22.185	19.572	20.898	20.025	22.268	22.264	22.155	23.205	23.587	23.628	21.032
zgc:162184	22.491	26.318	25.334	24.771	21.608	24.888	27.693	26.173	26.345	26.079	25.887	27.72	26.983	26.502	26.8	22.747	22.826	22.359	22.337	26.167	23.874	25.988	25.467	25.483	25.497	26.25	26.308	26.655	26.434	26.443
LOC100005536	25.974	26.234	28.772	26.153	21.828	21.629	21.299	20.539	20.318	20.32	20.436	25.243	24.755	20.316	25.323	22.006	25.162	22.171	22.598	19.37	21.608	21.262	22.388	19.513	20.609	19.169	21.509	21.628	20.364	19.864
akap12a	22.207	22.137	21.988	22.733	22.666	20.334	22.009	20.955	21.931	21.934	20.839	24.81	21.946	20.879	21.785	23.774	19.999	22.903	22.639	23.765	22.39	19.372	20.811	20.257	21.33	20.547	24.857	24.45	23.557	24.203
	23.038	22.736	25.004	25.37	24.326	22.271	24.525	24.844	24.237	25.356	23.7	26.104	26.361	26.395	26.223	21.421	22.107	22.836	23.096	25.155	25.22	25.446	25.144	24.917	25.041	25.392	25.087	26.04	25.501	25.596
fto	22.288	22.528	21.985	23.337	20.539	21.381	22.45	22.803	21.398	21.401	24.652	21.965	22.238	20.804	23.767	22.875	23.028	22.461	22.835	20.977	19.683	21.463	25.272	25.137	24.918	25.609	24.106	24.951	24.602	24.444
LOC100329277	22.388	22.246	22.376	23.098	21.504	22.258	22.062	19.788	20.525	20.527	21.127	25.066	24.429	25.147	25.149	20.098	25.585	21.557	22.638	21.649	23.909	22.265	21.808	20.479	19.05	20.518	25.089	21.342	24.145	25.059
larsa	22.807	23.07	21.992	21.874	22.473	21.36	20.927	20.215	19.513	19.514	22	24.06	24.516	24.452	24.619	22.169	22.873	21.908	22.097	22.415	21.228	19.487	21.409	19.436	19.966	19.139	20.916	24.243	24.608	24.214
LOC568650	23.017	22.327	22.104	21.871	23.199	22.453	21.27	19.744	20.277	20.279	21.414	22.058	21.21	20.879	20.979	23.074	22.922	21.475	23.82	20.676	21.875	23.825	21.086	20.285	20.442	21.133	19.773	20.32	19.721	20.897
slc27a1b	21.679	22.426	22.717	22.27	21.805	21.713	21.958	22.455	22.531	23.77	23.961	23.941	23.495	23.506	23.438	22.921	22.88	24.37	23.658	20.18	23.601	23.269	23.068	23.075	23.625	24.06	21.333	24.358	21.036	22.11
si:ch211-94l19.4	22.39	22.841	22.504	21.879	23.415	21.933	22.227	19.504	20.788	20.79	20.854	22.42	20.616	22.678	23.347	22.97	23.241	23.059	22.352	21.971	21.045	21.073	21.349	20.607	20.413	19.587	21.803	19.938	21.236	22.693
LOC570106	23.114	24.48	22.216	21.992	21.32	24.773	23.719	24.939	24.656	24.613	24.457	26.125	25.734	26.032	25.989	22.928	22.678	22.321	21.967	24.928	25.149	24.758	25.13	23.656	24.822	24.619	25.032	25.757	25.615	25.738
LOC101884882	22.307	23.049	23.059	22.616	22.711	22.859	20.929	20.385	21.23	22.991	22.849	22.778	22.464	22.05	21.505	23.283	21.929	22.585	22.508	21.022	22.612	21.736	22.381	23.815	23.642	21.974	23.906	23.66	21.061	23.779
	24.253	25.376	24.861	24.978	26.085	25.543	26.821	28.444	28.603	28.65	28.533	29.552	29.651	29.678	29.96	26.122	25.277	26.191	24.858	27.698	28.028	27.956	28.413	28.58	28.435	28.461	29.267	29.528	29.399	29.545
mical1	22.622	22.658	22.306	22.792	22.749	21.767	22.422	20.136	20.077	21.339	20.206	21.857	21.027	21.475	20.911	21.858	21.791	21.951	21.938	20.195	20.717	22.125	21.317	21.329	20.846	20.336	21.776	19.923	21.251	21.6
rock1	23.227	21.723	22.299	22.4	20.671	21.977	22.219	21.437	21.139	21.233	20.758	20.948	21.128	22.142	21.846	22.73	22.211	22.627	22.401	21.636	20.94	22.493	21.073	18.988	21.035	20.814	21.242	21.192	21.352	20.573
abhd10b	22.565	22.428	22.4	22.106	20.567	21.691	21.776	19.907	21.467	21.142	20.565	22.584	20.009	21.043	21.097	21.994	22.018	23.089	22.174	21.048	20.462	20.776	20.228	20.134	19.472	18.975	23.899	22.853	22.943	23.277
trappc8	21.713	23.146	22.824	22.964	22.547	21.657	22.02	20.375	19.644	21.47	20.5	22.211	20.485	20.682	21.618	22.271	22.774	22.825	22.441	20.266	22.184	20.287	20.625	22.129	20.713	18.569	20.681	21.166	19.89	21.801
si:ch211-251p5.5	24.976	22.346	23.037	22.191	21.143	22.123	22.685	22.654	22.631	20.924	24.097	25.282	24.989	23.544	24.967	22.081	22.704	22.626	23.113	21.216	21.272	22.054	23.29	23.784	23.971	20.199	24.231	21.726	24.051	20.759
zgc:55262	29.543	27.096	30.489	30.265	20.949	22.571	21.657	22.38	23.851	21.87	21.845	24.552	24.528	24.755	24.274	31.747	31.216	29.287	30.452	24.568	21.826	24.599	23.053	21.87	21.852	21.937	24.627	28.028	25.334	24.585
myhz1.1	21.713	23.257	21.681	22.294	22.108	21.766	21.73	21.978	19.636	19.645	20.341	20.584	23.841	22.306	20.493	22.756	21.384	23.82	22.6	21.261	21.863	21.117	20.142	19.775	18.853	20.153	20.694	23.692	23.384	23.694
si:ch211-105c13.3	23.191	25.238	22.402	25.621	27.843	27.316	27.278	28.136	26.518	27.409	27.559	27.2	27.451	27.806	27.792	27.294	21.747	25.57	23.123	27.951	28.014	27.753	29.45	27.886	27.536	27.629	28.511	28.187	28.382	28.747
si:ch73-217n20.1	22.478	22.601	23.136	22.726	21.078	21.74	22.037	21.448	20.311	19.637	21.278	22.224	20.123	20.121	21.014	22.375	21.3	23.656	21.863	21	21.297	21.724	21.031	21.139	18.443	19.79	21.289	24.125	23.936	24.033
LOC100330974	23.318	21.756	22.318	22.943	21.935	20.912	20.343	20.581	20.719	20.312	20.602	20.018	20.941	21.923	19.875	21.458	24.288	22.336	21.42	21.81	20.545	21.144	20.397	19.981	20.09	22.224	21.318	20.318	20.926	21.285
LOC100001297	23.065	21.757	23.25	21.562	22.633	21.933	22.055	22.965	22.954	23.14	22.986	21.837	20.323	21.134	20.36	21.815	22.935	21.948	23.009	21.138	21.459	20.371	22.424	22.768	22.909	22.306	21.43	21.436	22.727	21.15
f2	22.257	23.223	22.579	22.296	25.837	25.916	26.988	24.677	25.177	26.308	26.62	25.675	26.529	26.003	26.038	25.44	22.173	26.519	26.001	27.3	27.615	27.109	26.955	27.87	27.726	27.335	27.368	27.273	27.241	27.7
sec24a	23.08	22.515	21.715	23.043	21.611	21.574	21.399	19.575	21.012	20.721	20.153	23.114	20.618	23.1	23.315	21.376	22.445	22.494	22.927	20.868	21.502	21.309	20.842	20.565	20.044	20.599	20.545	19.761	20.601	22.878
hnrnpa1a	26.912	26.77	27.143	27.269	25.646	25.955	25.646	26.039	26.28	26.118	26.041	26.206	26.389	26.076	26.452	26.036	26.734	25.612	26.642	26.686	25.915	26.098	25.892	26.299	26.548	26.083	25.867	25.858	26.057	26.334
	24.708	24.911	21.716	22.21	21.278	23.019	20.915	24.329	23.982	23.726	24.994	25.123	25.371	24.706	24.812	24.312	22.488	24.46	22.567	20.203	21.251	23.245	21.345	23.164	23.267	23.695	23.899	23.394	21.832	23.873
LOC101883092	24.824	23.908	25.302	26.236	24.028	22.613	23.947	25.09	25.202	24.974	24.585	24.735	25.097	24.548	24.674	24.034	22.965	24.776	21.17	23.072	23.485	23.149	23.737	24.138	23.825	23.966	23.424	19.392	23.712	24.436
dlg1	22.074	23.348	23.215	23.16	21.85	21.818	21.481	20.335	22.677	22.173	22.322	21.988	23.524	22.747	22.471	22.982	22.692	22.386	21.769	22.204	22.218	22.047	20.745	20.416	20.805	21.625	20.706	20.875	20.787	21.671
LOC100001114	22.42	23.097	22.491	24.34	25.107	24.834	25.237	25.934	26.071	25.907	26.092	25.425	25.984	25.491	25.582	22.233	22.487	22.156	22.429	25.252	24.975	24.761	25.392	25.521	26.116	25.692	25.677	24.895	24.452	24.317
si:dkey-108k21.14	24.711	24.303	24.53	24.626	21.292	21.306	25.03	25.795	26.01	25.801	25.929	24.561	24.828	24.243	24.732	22.636	23.237	23.657	23.839	24.045	24.042	24.28	25.049	25.473	25.428	25.475	21.489	21.427	23.922	23.8
LOC100331639	25.678	26.155	24.819	22.476	26.665	26.706	26.4	27.877	26.479	27.909	27.14	26.433	26.528	26.23	26.644	24.52	25.034	22.426	21.685	26.723	26.655	26.851	27.47	27.735	28.045	27.867	25.63	26.154	26.002	25.726
LOC101884754	23.059	22.296	23.343	21.596	22.912	20.107	21.645	20.842	21.896	21.014	19.859	22.26	22.105	21.649	22.029	22.501	21.923	23.106	22.216	20.045	22.03	21.354	20.145	20.994	19.677	21.215	21.494	20.833	22.038	21.39
git1	22.326	23.112	23.086	21.597	24.437	25.423	26.842	22.683	22.79	23.015	22.425	21.041	19.727	21.983	19.991	22.543	23.72	21.037	22.935	25.504	25.411	25.533	22.449	22.707	21.551	20.791	21.82	22.993	21.314	20.007
hp1bp3	27.591	28.695	28.226	28.403	28.11	28.586	29.086	29.319	29.075	29.052	28.908	28.723	28.825	28.906	28.75	28.72	28.944	27.93	28.305	28.843	28.785	28.648	28.962	29.124	29.235	29.616	28.748	28.905	28.865	28.741
LOC100538221	22.518	22.115	22.267	23.123	21.742	21.065	22.082	25.147	25.37	25.235	25.351	27.401	27.756	27.379	27.83	23.012	23.551	22.587	22.824	24.414	21.383	21.096	24.229	24.67	24.777	25.169	20.887	20.503	21.179	23.474
hcfc1b	22.718	22.458	23.101	22.386	23.716	24.854	21.109	25.523	25.316	25.848	25.302	25.64	25.826	25.827	25.641	22.744	22.188	23.116	25.763	24.878	25.2	21.896	24.982	25.63	25.291	25.514	25.814	25.296	25.362	25.557
	22.485	23.092	22.082	23.254	22.419	24.725	22.227	24.14	24.523	23.827	23.618	24.12	21.808	23.903	23.259	22.543	25.113	25.503	22.113	24.16	24.385	24.236	23.51	23.761	23.573	24.263	23.348	22.719	24.382	24.525
ptbp3	21.438	24.158	24.183	23.39	22.275	21.622	22.137	24.397	24.574	24.503	26.86	25.042	20.25	21.25	24.859	23.519	21.787	24.436	22.85	21.185	21.124	21.232	24.311	24.576	23.535	24.49	24.569	21.24	24.314	24.34
	21.648	22.364	22.432	22.993	22.889	20.742	21.617	21.282	21.302	22.404	22.45	23.069	23.07	23.615	22.941	21.988	22.351	21.842	23.594	19.651	20.484	20.966	23.143	23.241	22.896	20.883	21.621	22.693	22.641	23.267
fat2	21.447	22.554	23.081	22.158	22.646	27.846	21.513	28.353	28.19	21.9	27.983	21.56	20.44	20.659	20.823	23.754	22.24	21.394	22.812	20.666	20.333	20.309	27.78	27.876	27.882	28.002	26.698	26.79	26.728	26.571
fdxr	23.079	22.753	22.337	23.008	25.292	24.762	20.205	24.033	23.521	24.097	23.537	23.448	24.19	24.335	23.605	23.588	22.002	23.001	21.914	23.975	24.676	24.49	23.811	24.936	24.678	25	25.955	25.919	25.973	25.579
LOC100333837	23.648	22.522	22.531	21.969	21.4	22.26	22.162	21.191	20.734	21.305	20.328	23.584	21.838	21.169	23.814	22.249	22.281	22.918	21.97	20.673	21.429	20.154	20.159	20.682	22.137	21.153	24.234	23.551	24.029	24.068
tjp2a	22.677	21.484	22.735	22.327	21.397	22.909	21.263	23.852	23.72	23.181	23.486	24.123	23.397	23.566	23.772	21.855	22.982	22.554	22.342	21.489	19.954	21.279	20.796	23.27	23.36	22.659	21.723	21.792	22.582	22.35
iqgap1	27.122	27.678	28.154	27.934	28.576	29.007	28.839	29.171	29.084	29.265	28.883	29.618	29.1	29.099	29.132	29.19	27.645	28.152	27.289	28.599	28.832	29.294	29.235	28.9	29.004	29.154	28.964	28.805	29.121	28.877
	23.389	21.692	22.498	22.987	23.503	24.354	24.532	24.546	24.723	23.6	24.854	21.898	20.69	22.564	25.495	22.409	20.848	21.142	23.379	23.856	23.896	24.371	23.618	24.038	24.471	24.275	24.926	22.175	21.702	23.053
	22.75	21.493	21.437	22.23	21.405	21.283	21.241	22.697	22.37	20.737	23.978	24.093	24.212	24.967	24.582	22.299	22.447	21.747	22.278	20.168	20.93	19.764	24.136	23.213	24.527	23.531	19.486	21.801	24.319	23.576
pkp1b	26.186	26.649	24.444	27.523	27.833	28.755	28.472	28.728	28.867	28.752	28.835	27.765	27.662	27.857	27.368	25.987	26.7	22.414	21.948	28.294	27.846	28.146	28.073	28.209	28.308	28.451	27.612	27.33	27.153	27.375
	22.811	23.112	21.65	24.9	21.521	21.512	22.345	24.71	24	24.289	24.036	25.055	25.331	25.528	25.124	22.066	22.993	21.662	24.253	23.375	23.39	23.362	24.2	24.046	23.831	25.32	23.05	23.932	23.432	24.22
zgc:85932	21.273	23.675	21.446	22.427	22.155	22.384	21.598	22.343	22.855	23.412	22.005	23.116	23.443	23.01	20.194	22.34	21.678	22.199	22.077	22.115	20.936	21.104	23.143	19.147	20.495	23.238	22.266	21.498	23.065	23.352
nt5c2a	21.42	22.713	23.101	22.635	21.936	20.171	21.82	21.517	22.757	22.762	20.39	23.389	20.829	23.556	23.057	23.029	21.216	22.926	22.976	22.648	20.45	20.767	20.826	20.518	21.533	20.869	21.354	22.035	22.659	23.816
gak	23.995	23.419	24.14	24.88	21.637	21.175	22.756	19.706	20.638	20.64	21.087	23.927	24.3	24.684	23.201	20.931	22.875	22.813	21.395	19.99	22.323	20.773	20.946	20.489	21.118	19.998	22.79	24.176	23.403	23.166
tubb1	21.051	22.785	23.677	25.69	24.37	23.859	23.038	19.697	21.703	20.444	20.516	23.151	22.63	20.054	22.181	23.775	22.661	24.333	22.104	23.501	22.836	20.274	22.856	22.982	22.94	23.11	25.321	21.745	21.42	21.242
stag1b	22.556	22.846	22.693	22.393	22.51	22.183	21.865	22.666	20.442	20.377	19.57	21.158	23.318	23.128	20.494	22.503	22.788	22.095	21.511	21.456	20.28	22.197	19.999	22.604	22.495	20.407	20.449	21.486	20.034	21.216
fam129ab	22.151	21.32	23.415	21.313	21.723	22.938	21.575	22.806	22.627	21.547	22.983	20.561	20.535	22.853	19.588	23.039	22.413	22.84	22.856	21.613	21.69	22.723	23.275	23.291	23.61	22.649	21.726	21.54	21.272	21.768
grhl1	22.195	21.466	22.767	21.53	21.827	21.488	21.541	24.309	20.375	22.869	22.168	21.075	20.648	20.529	23.513	21.748	20.955	23.592	22.397	22.819	21.841	20.099	20.172	21.101	20.782	22.41	22.527	20.693	21.246	20.382
ppp1r37	22.231	21.1	22.829	21.322	22.267	23.164	22.012	20.368	22.428	21.24	20.712	19.95	20.716	20.168	21.706	21.293	21.58	22.802	22.791	20.558	23	21.547	21.009	21.618	21.056	21.739	21.94	21.066	21.799	21.482
