Gene Name	Distal101	Distal102	Distal103	Distal104	Distal2D001	Distal2D002	Distal2D003	Distal2fusion01	Distal2fusion02	Distal2fusion03	Distal2fusion04	Distal301	Distal302	Distal303	Distal304	Proximal101	Proximal102	Proximal103	Proximal104	Proximal2D001	Proximal2D002	Proximal2D003	Proximal2fusion01	Proximal2fusion02	Proximal2fusion03	Proximal2fusion04	Proximal301	Proximal302	Proximal303	Proximal304
zgc:158409	26.078	29.237	29.192	29.282	27.198	27.788	27.141	27.099	26.227	23.65	28.136	24.661	24.114	24.583	24.664	30.206	29.973	29.861	29.619	28.423	28.176	28.009	23.288	24.062	23.815	24.905	25.393	24.597	24.98	24.641
ybx1	26.872	27.481	27.062	27.611	26.737	26.923	26.967	27.53	28.062	27.821	27.841	26.576	26.642	25.693	26.363	26.64	27.035	26.127	26.574	27.132	26.364	27.068	27.263	27.584	27.387	27.737	26.121	26.481	26.152	26.144
pds5a	21.39	21.437	21.388	21.263	20.779	20.42	25.186	22.162	23.593	24.042	22.533	24.748	24.411	24.313	24.084	22.674	22.621	22.755	22.766	22.267	22.469	22.32	24.648	22.075	21.849	21.806	22.429	24.421	24.523	23.87
esrp1	22.373	22.411	22.385	22.278	21.812	21.495	21.733	23.394	20.887	22.583	22.669	23.044	24.201	22.727	23.704	22.856	22.807	22.935	22.944	21.318	21.557	22.346	22.629	22.609	22.94	23.471	23.039	22.271	22.946	22.615
fam129ba	22.701	21.554	23.568	22.56	21.903	22.266	21.134	22.525	23.781	20.841	23.936	22.638	23.712	23.379	23.453	22.286	22.566	23.187	23.193	21.818	20.226	22.168	22.647	22.693	23.041	23.269	21.229	20.692	20.637	23.108
fnta	21.695	22.475	22.161	22.062	21.95	21.793	22.052	22.255	21.798	23.163	23.049	20.987	20.994	22.274	22.101	23.111	22.224	21.561	21.585	20.888	22.296	20.74	24.592	22.66	22.837	22.328	20.375	20.505	21.257	21.227
engase	21.697	21.74	21.699	21.579	21.1	20.755	20.292	20.941	19.363	21.81	21.927	21.256	21.308	21.347	21.197	22.409	22.352	22.494	22.508	21.524	21.755	21.41	22.015	21.804	21.537	21.909	21.556	22.369	22.434	22.401
crtac1a	21.509	22.996	22.727	23.483	22.576	21.253	21.294	21.71	20.128	20.096	21.795	21.084	21.845	20.03	23.598	21.463	22.753	21.639	21.662	21.914	20.904	21.904	21.967	20.735	20.425	19.84	21.877	20.55	21.559	21.529
rca2.1	22.437	23.333	22.718	22.051	22.394	21.657	21.647	20.585	21.114	21.751	19.761	24.557	24.999	24.68	24.555	21.542	22.619	21.559	21.583	20.201	22.038	20.985	21.118	20.476	20.766	20.53	21.206	25.002	24.562	21.248
gdi1	22.963	21.748	21.697	22.626	21.513	21.696	23.273	24.946	24.757	24.4	24.521	25.175	24.987	25.147	25.446	21.46	22.277	21.526	21.55	24.217	24.776	24.041	24.585	24.302	24.476	24.775	25.151	24.765	25.376	25.225
atp5ib	24.561	25.146	23.061	24.048	25.303	25.415	25.208	25.842	25.661	25.774	25.63	24.558	24.723	24.901	24.868	23.52	21.481	23.221	22.272	25.822	25.748	25.102	25.457	25.899	25.844	25.878	24.835	24.716	24.91	24.682
ddx39aa	25.733	26.024	25.036	26.437	27.703	27	27.718	27.692	27.76	26.394	27.314	28.169	28.574	28.469	28.697	24.659	26.02	24.785	25.142	27.798	27.825	28.039	26.969	27.899	26.391	27.281	27.997	27.742	28.236	28.247
prdx1	23.303	22.459	21.509	22.617	21.899	24.009	23.727	24.791	24.984	24.735	25.108	25.036	25.453	25.391	21.743	21.427	22.163	22.255	21.865	23.771	24.504	21.998	25.02	25.196	25.374	24.94	26.194	26.522	26.867	27.07
ppm1f	21.704	23.115	22.45	21.577	21.86	20.515	21.243	19.949	20.496	22.051	22.113	21.478	22.063	21.597	21.965	22.167	22.184	21.844	22.668	21.686	21.143	20.308	23.254	22.003	22.389	23.122	19.452	22.418	21.278	22.598
