id	logFC	AveExpr	t	P.Value	adj.P.Val	B
usp14	0.254199999999997	23.7499666666667	0.659029774986328	0.514479181491656	0.87586075188199	-6.62783321451601
szrd1	0.299133333333334	21.1495	0.657348592575839	0.515545625815339	0.876169839993316	-6.62894603003126
pleca	-0.267800000000001	29.7917666666667	-0.656983217224516	0.515777557396984	0.876169839993316	-6.62918751475705
itgb1b.2	0.204600000000006	21.9182333333333	0.656178698271137	0.516288446508067	0.876169839993316	-6.62971877842764
mtor	-0.414066666666667	21.4753	-0.656062408312112	0.516362316164177	0.876169839993316	-6.62979551800591
abhd17ab	-0.257533333333335	21.6708333333333	-0.655654409398332	0.516621530388105	0.876169839993316	-6.63006465115498
nup133	-0.211733333333335	21.6217333333333	-0.655108604036709	0.516968407575195	0.876169839993316	-6.63042443225288
rad23b	-0.3568	23.6364666666667	-0.654931876805785	0.517080750565931	0.876169839993316	-6.63054086383952
atp6v1c1a	-0.239800000000006	22.4929	-0.654715233535155	0.517218485662167	0.876169839993316	-6.63068355120723
huwe1	-0.398800000000001	23.8388	-0.654096493758747	0.517611970712661	0.876169839993316	-6.63109081750904
tmed10	-0.321399999999997	21.6887	-0.653182669325897	0.518193409990018	0.876169839993316	-6.63169162815542
si:dkeyp-82a1.6	-0.266866666666665	22.2919	-0.653002013391341	0.51830839779977	0.876169839993316	-6.63181030685883
si:ch211-152p11.4	-0.317599999999995	22.4726666666667	-0.652957704547259	0.518336602561928	0.876169839993316	-6.63183940988288
grik1a	0.358000000000004	21.5988	0.652344349330877	0.518727118641012	0.876169839993316	-6.63224207747416
slc16a1	-0.280466666666666	21.9775666666667	-0.652204759025576	0.518816016364606	0.876169839993316	-6.63233366699334
itga6b	-0.306600000000014	27.8043	-0.651475921575626	0.519280308309466	0.876349610734268	-6.63281156969517
marcksl1b	-0.373800000000006	23.7343666666667	-0.651105759665049	0.519516198775396	0.876349610734268	-6.63305408756281
farsa	-0.359866666666669	22.7172666666667	-0.64918705945959	0.520739841922022	0.877715052247927	-6.63430900460682
hdlbpa	-0.301266666666677	25.5299666666667	-0.648609091689609	0.521108742707658	0.877715052247927	-6.63468631458579
vps26b	0.240399999999994	22.0911333333333	0.648438514161091	0.521217644509016	0.877715052247927	-6.63479760873807
pdp1	0.26166666666667	21.5509666666667	0.64740992898211	0.521874583802864	0.878263111116381	-6.6354681096341
ap1b1	-0.476866666666663	24.2373	-0.64699748427897	0.522138130084434	0.878263111116381	-6.63573667744295
apc2	-0.540533333333336	23.8259333333333	-0.644629255552598	0.523652778961166	0.879562555284191	-6.63727554649616
fam49ba	-0.368266666666667	23.5271333333333	-0.644484518524062	0.523745424879005	0.879562555284191	-6.63736941790994
aass	0.34953333333333	22.6317	0.644392188320997	0.523804529874529	0.879562555284191	-6.63742928934177
