gene_name,logFC,P.Value,adj.P.Val
Sun2,1.744093729,0.00000005725425617603 ,0.00000514117195798806 
Rapgef5,-1.699575494,0.00000005805866056807 ,0.00000518394955716293 
F2rl1,2.73694236,0.00000005991320402226 ,0.00000531948469869549 
Sec11c,-1.490319526,0.00000006253847313066 ,0.00000552155323663069 
Lrfn4,2.621299801,0.00000006302905882304 ,0.00000553395136466312 
Tph1,-2.595679381,0.00000006365523330663 ,0.00000555805142087310 
Gm13889,3.474985548,0.00000006605624993974 ,0.00000572974523742483 
Apol7a,-2.426698622,0.00000006647821015682 ,0.00000572974523742483 
Tnfrsf12a,1.880972409,0.00000006670925864883 ,0.00000572974523742483 
Folr1,-2.561173054,0.00000006964527945034 ,0.00000594958916990940 
Homer2,-2.15183387,0.00000007267621839801 ,0.00000617513416968889 
Gm11127,-2.292771868,0.00000007615560952081 ,0.00000643616712763015 
Mpc1,-1.696826333,0.00000007675924496133 ,0.00000645267610302544 
Map4k4,1.597502685,0.00000008902649749675 ,0.00000742058673045557 
Phlda1,3.42025492,0.00000008921231832362 ,0.00000742058673045557 
Stard4,-2.373917672,0.00000009539502294809 ,0.00000789331383597725 
Clcc1,-1.653316449,0.00000009680337203812 ,0.00000796103385918584 
Rin2,1.567954397,0.00000009722092728568 ,0.00000796103385918584 
Cmtm8,-1.750830663,0.00000009865258962893 ,0.00000803662642523500 
Cyb5a,-1.551709706,0.00000010151841632041 ,0.00000822767718732146 
Pygl,-2.806330106,0.00000010442765594957 ,0.00000842027895217815 
Fah,-1.94471275,0.00000010620554898926 ,0.00000852016495546293 
Nsdhl,-2.126786683,0.00000010950594539186 ,0.00000874056545945958 
Kctd11,3.084204774,0.00000011253962615551 ,0.00000893756910433017 
Spp1,-2.331037203,0.00000011414940324108 ,0.00000902008584410971 
Cdc42ep1,1.728584731,0.00000011697646959869 ,0.00000919749316187911 
Thbs1,4.094857934,0.00000011777659211235 ,0.00000921456070170054 
Nsmce1,-1.975461658,0.00000012125561327417 ,0.00000944001828662512 
Fam13b,1.936406896,0.00000012232644770340 ,0.00000947670186031643 
Pcx,-1.967268304,0.00000012365528357617 ,0.00000953291756896464 
G6pdx,-1.446891502,0.00000012469611180416 ,0.00000956649199491679 
Pkp3,1.874041603,0.00000012656747625198 ,0.00000966315166515116 
Csf1,3.563469835,0.00000012783985622167 ,0.00000971337061407318 
Prss35,-6.725094346,0.00000013199177927274 ,0.00000998085205562822 
BC003331,-1.545600383,0.00000013370981622013 ,0.00001006261874068050 
Wfdc17,-5.640783218,0.00000013465469624890 ,0.00001008570056643390 
Kdm5b,1.867531852,0.00000013654935494774 ,0.00001017936795091530 
Itsn1,-1.566518763,0.00000013752058852433 ,0.00001018747413892250 
Hid1,-1.612840178,0.00000013794732129394 ,0.00001018747413892250 
Gcat,-2.942924572,0.00000014024270362854 ,0.00001022661018695830 
Plpp4,-5.756966425,0.00000014025946867615 ,0.00001022661018695830 
Ccl28,-3.415817505,0.00000014041852762402 ,0.00001022661018695830 
Msmo1,-2.343943393,0.00000014543548118214 ,0.00001054340525047000 
Sema7a,-3.755969541,0.00000015022574294511 ,0.00001076018242377430 
Adgrf1,-2.115468241,0.00000015046698941467 ,0.00001076018242377430 
Plpp2,1.850456167,0.00000015046825586270 ,0.00001076018242377430 
Sstr4,-7.081015327,0.00000015272986131653 ,0.00001087271499210100 
Vcl,1.986745554,0.00000015455299442202 ,0.00001095316378406110 
1700001O22Rik,-2.405413127,0.00000015776253672355 ,0.00001113071040347750 
Traf1,-3.780625178,0.00000015859006054942 ,0.00001113936585299090 
Lpl,-2.287720278,0.00000016951782669701 ,0.00001185424660672360 
Ttyh3,-1.826309881,0.00000017103967658336 ,0.00001190797818820910 
Ctsz,-1.474828153,0.00000017223764130380 ,0.00001193878808405830 
Atp6v1c2,2.734985133,0.00000017445313385492 ,0.00001203955164822360 
Fnbp1l,1.596804063,0.00000017678308211014 ,0.00001214730360725490 
Rtn4,2.516483314,0.00000017933279944780 ,0.00001226608760167270 
Ttc9,4.019387801,0.00000018006405489674 ,0.00001226608760167270 
Asxl1,1.51001416,0.00000018246413276039 ,0.00001237623671306950 
N4bp3,2.133905279,0.00000018445096447576 ,0.00001245753436997820 
Ssr4,-1.404536139,0.00000018825792837547 ,0.00001266054595764240 
Reep6,-1.530365302,0.00000019244207383096 ,0.00001288709548654470 
Gne,-1.601869178,0.00000020169368695244 ,0.00001338953778045560 
Gale,-2.030758233,0.00000020216323256968 ,0.00001338953778045560 
Abr,-2.075993236,0.00000020293345805290 ,0.00001338953778045560 
Mmp25,-4.696113359,0.00000020405135867458 ,0.00001338953778045560 
Cbr2,2.546098673,0.00000020418113168121 ,0.00001338953778045560 
D730002M21Rik,-2.030453804,0.00000020636500669446 ,0.00001339595280564230 
Cldn4,3.178211336,0.00000020654847441303 ,0.00001339595280564230 
Slc16a9,-4.076389142,0.00000020682184792310 ,0.00001339595280564230 
Cxadr,1.808825592,0.00000020886748313236 ,0.00001344294195091030 
Lipg,-3.327345936,0.00000020924852695039 ,0.00001344294195091030 
Gm15441,-3.006629419,0.00000021070829289490 ,0.00001348191846522640 
Mex3a,3.292452841,0.00000021714059513324 ,0.00001383745953824890 
Ormdl3,-1.482509123,0.00000021807598217382 ,0.00001384125631435770 
Tspan1,-3.226962334,0.00000022620196451575 ,0.00001429958338882790 
Trip10,1.718875463,0.00000022798878961561 ,0.00001435511884894440 
Carmil1,1.703414335,0.00000023418832537109 ,0.00001468695354827250 
Wipf1,-1.683534293,0.00000023778231062351 ,0.00001485340568021300 
Rrad,3.518394449,0.00000024703812273129 ,0.00001537082870726520 
Rtkn,1.677035892,0.00000025056260498186 ,0.00001552898591817000 
AI837181,2.371827273,0.00000025250986155668 ,0.00001558853848453840 
Skint2,-6.998652264,0.00000025668800057912 ,0.00001573638857013820 
Tspan12,2.58459984,0.00000025709624355293 ,0.00001573638857013820 
Galnt12,-2.227409526,0.00000025789196656959 ,0.00001573638857013820 
Plb1,4.597428699,0.00000026242229268611 ,0.00001595123812927440 
Retreg1,-1.437161313,0.00000026344943627518 ,0.00001595231758962800 
Mki67,-2.338359913,0.00000026573048654049 ,0.00001602902522628200 
Tnr,-7.5952729,0.00000026978573716693 ,0.00001621176346078390 
Clca2,-2.420800716,0.00000027813231578971 ,0.00001665001181341140 
Mad2l1bp,-2.212055397,0.00000028134673450177 ,0.00001677888223421110 
Als2cl,2.203804485,0.00000029238147994191 ,0.00001737141695113510 
Cxcl3,-3.057741474,0.00000029579088231678 ,0.00001750816143870570 
Nov,-3.472085114,0.00000030296984931339 ,0.00001786617723339080 
Cstb,1.668790678,0.00000030936482618382 ,0.00001817547105207840 
Rhbdf1,1.534813855,0.00000031401309524548 ,0.00001838023317503540 
Pex26,-1.883601998,0.00000032463058766385 ,0.00001893159338538530 
Lpar1,-4.428959586,0.00000032586308637927 ,0.00001893360373947790 
Ubald1,1.836192664,0.00000032943940661014 ,0.00001907128345079330 
Etv5,-3.365616933,0.00000034109472640621 ,0.00001967394546030530 
Baiap2l1,-1.550317925,0.00000034249862594127 ,0.00001968308467045730 
Mmp28,-3.354684802,0.00000034438728385866 ,0.00001971991534095030 
Agpat1,-1.4389766,0.00000034866725170595 ,0.00001989291424534590 
Zfp9,-2.380724416,0.00000036154441079705 ,0.00002055340959797320 
Wls,-1.526516242,0.00000036932471370895 ,0.00002092045797654540 
Wap,-3.823162761,0.00000037672197398485 ,0.00002119642533854490 
Frmd6,2.475789822,0.00000037687898760637 ,0.00002119642533854490 
Plscr2,3.631684396,0.00000038026105924113 ,0.00002131080063917310 
Phactr1,-1.829316691,0.00000039251758587024 ,0.00002191995733955220 
Ret,-2.958120193,0.00000039404269552932 ,0.00002192764352163840 
Fosl1,2.796466042,0.00000039927830968747 ,0.00002200947398109010 
Crispld2,-3.466261412,0.00000039967341597705 ,0.00002200947398109010 
Spry2,1.88523314,0.00000039969115619924 ,0.00002200947398109010 
Tbc1d13,-1.656425015,0.00000040389467026223 ,0.00002216372003064000 
Ikzf2,-1.877759992,0.00000041958827341395 ,0.00002294523554683060 
Btn1a1,-2.060647622,0.00000043176754799965 ,0.00002352984251236700 
Naaa,-2.557005804,0.00000043343867498993 ,0.00002353974164790650 
2900026A02Rik,1.933824057,0.00000043763471790819 ,0.00002368622973226390 
Snap29,-1.609958376,0.00000044000346923474 ,0.00002373315640882530 
Ptpn23,1.581287204,0.00000045003704733796 ,0.00002418954115703530 
Nucb2,-1.565942232,0.00000045152585682899 ,0.00002418954115703530 
Fam83a,3.481160049,0.00000047691114953493 ,0.00002532749016947240 
Lrrfip1,1.592800854,0.00000047696783001431 ,0.00002532749016947240 
Phldb1,-3.663870944,0.00000047757479565318 ,0.00002532749016947240 
Pxn,1.706861987,0.00000048634097063202 ,0.00002570612943099820 
Wdr86,-4.550378679,0.00000048906311103962 ,0.00002576384468956710 
Trib2,3.10317286,0.00000049497741258935 ,0.00002598878082578770 
Stc2,-1.807517315,0.00000049711338083738 ,0.00002601450288329130 
Ppp1r13l,1.75910434,0.00000050954560607858 ,0.00002655688559107160 
Cenpu,-2.189761269,0.00000051083859906896 ,0.00002655688559107160 
Elf1,1.717091592,0.00000052913565695724 ,0.00002729880605625890 
Otud5,1.616241295,0.00000052935227493565 ,0.00002729880605625890 
Gm11735,-6.18710447,0.00000053163334063344 ,0.00002729880605625890 
Fam167b,-3.897406818,0.00000053201925242519 ,0.00002729880605625890 
Rora,-1.48800769,0.00000053966000928525 ,0.00002760125173703600 
Ggcx,-1.577519902,0.00000055364506961881 ,0.00002822518283953430 
Gmppb,-1.725945972,0.00000055796282266344 ,0.00002835384067322500 
Cutal,-2.531090572,0.00000056787123903033 ,0.00002876486237703630 
Rab11fip1,1.436860031,0.00000057559928753055 ,0.00002896276324659940 
Rgs8,2.696287562,0.00000057842707990576 ,0.00002896276324659940 
Myh9,1.51823327,0.00000057853569534333 ,0.00002896276324659940 
Lif,2.909695099,0.00000057910865514588 ,0.00002896276324659940 
Cyp1b1,4.365611023,0.00000058416026673288 ,0.00002912324560077720 
Pdlim7,2.254859882,0.00000058670111499497 ,0.00002915793843201430 
Serpinh1,1.896099404,0.00000058939921510578 ,0.00002920020437470780 
Pdk4,3.984533432,0.00000059670423336303 ,0.00002922257951402460 
Tbc1d8,-1.601112795,0.00000059698165607382 ,0.00002922257951402460 
Rspo1,6.475362359,0.00000059746874072514 ,0.00002922257951402460 
Elovl1,-1.50826947,0.00000060040320765637 ,0.00002922257951402460 
Irs1,-2.967108455,0.00000060074002772636 ,0.00002922257951402460 
Dhcr7,-1.656048751,0.00000060147640175245 ,0.00002922257951402460 
Snn,-1.557955964,0.00000060279428762162 ,0.00002922257951402460 
Gcdh,-1.498886959,0.00000062659605448149 ,0.00003028355977072020 
Dolk,-2.048619403,0.00000063593929449872 ,0.00003064141649468810 
Csn3,-2.272066506,0.00000063849832050892 ,0.00003067120807696960 
Irf2bpl,1.408886375,0.00000064223713992927 ,0.00003075732048315810 
Zc3h12c,-1.914971183,0.00000065350090777190 ,0.00003120220044237790 
Tmem132a,1.635224021,0.00000066206223758018 ,0.00003151575783950950 
Bcl2l2,-1.479790238,0.00000069331437010991 ,0.00003290432524089180 
Angpt1,-2.852390176,0.00000069769986055168 ,0.00003294088394937810 
Orai1,-1.516801591,0.00000069825336136685 ,0.00003294088394937810 
Ldlr,-1.442882409,0.00000071400862565005 ,0.00003358390571361110 
Lalba,-3.71768217,0.00000071873763192552 ,0.00003370602235890490 
Atp6v0a1,-1.372130398,0.00000073222295750397 ,0.00003423683911358810 
Saa2,-3.218767097,0.00000073629306308570 ,0.00003429692753325180 
Slc39a6,-1.502801511,0.00000073784835239848 ,0.00003429692753325180 
Plpp1,-3.15116772,0.00000075481287682899 ,0.00003491239115040670 
Barx2,1.669127337,0.00000075550732557828 ,0.00003491239115040670 
Ecscr,3.814154076,0.00000075906921778773 ,0.00003497472279276150 
Grpel2,1.813783962,0.00000077085701037457 ,0.00003541460520918530 
Rybp,1.82592696,0.00000077744613831792 ,0.00003561379353616330 
Lrrc75b,-3.179651075,0.00000078485566290323 ,0.00003584930316914060 
Large2,-2.131198616,0.00000079626181003935 ,0.00003626548024744040 
Otop1,-3.879695112,0.00000080126587395850 ,0.00003638852262080490 
Cnksr1,1.596031377,0.00000080454515403934 ,0.00003643275534222850 
Axin1,1.365393366,0.00000081519647444284 ,0.00003680961452027020 
Rnf121,-1.561736776,0.00000082415591196362 ,0.00003710814824123370 
Tkt,-1.409998581,0.00000083072649249636 ,0.00003726438905939990 
Igfbp7,-2.125435041,0.00000083234177030930 ,0.00003726438905939990 
Tirap,-1.551506709,0.00000084818681310372 ,0.00003786650958839300 
Pvr,2.187176048,0.00000085605008539978 ,0.00003809603470155380 
B4galnt1,1.656529845,0.00000086097416394210 ,0.00003809603470155380 
Slc9a4,-3.446563966,0.00000086146876256173 ,0.00003809603470155380 
Vasp,1.562483395,0.00000086421675471044 ,0.00003809603470155380 
H2-Q1,-1.58861339,0.00000086538069209427 ,0.00003809603470155380 
Irf1,-1.99239737,0.00000087396561128552 ,0.00003827201055352740 
Fchsd2,-1.68799329,0.00000087422145088733 ,0.00003827201055352740 
Mtfp1,-3.24280631,0.00000087757181178087 ,0.00003831255500935020 
Spag5,-2.054085242,0.00000088886053237562 ,0.00003869848995499810 
Krt18,1.773303036,0.00000089242113203336 ,0.00003874676805125040 
2310007B03Rik,7.440954111,0.00000089565019035827 ,0.00003878042632444400 
Tpcn2,-1.974828185,0.00000090791703337846 ,0.00003912575036331000 
Krt14,4.199435446,0.00000090857696680175 ,0.00003912575036331000 
Gm7694,1.689373471,0.00000091508366873780 ,0.00003929886494764180 
Ttc25,-2.040177275,0.00000092876024668610 ,0.00003977812178489750 
Bdh1,-1.608997412,0.00000093382629585636 ,0.00003988700210733510 
Mindy2,-1.468878231,0.00000093924613659451 ,0.00004001036642247900 
Slc1a1,2.22714112,0.00000094612319946055 ,0.00004016459665760200 
Tollip,1.471060195,0.00000094794954146327 ,0.00004016459665760200 
St6galnac3,-3.148959718,0.00000096686078959230 ,0.00004085633133346690 
Dock9,1.78681233,0.00000097189437707911 ,0.00004095951662762180 
Gm3373,-6.152863393,0.00000101671860465610 ,0.00004258265922077310 
2310057J18Rik,-6.753118149,0.00000101881949254541 ,0.00004258265922077310 
Cdhr1,-1.94017684,0.00000101952997603111 ,0.00004258265922077310 
Agpat4,-3.302745794,0.00000102118627212560 ,0.00004258265922077310 
Ggt5,-2.297631919,0.00000102936145320095 ,0.00004281060106944140 
Fxyd2,-3.281581468,0.00000104499718322391 ,0.00004334681229309870 
Gm19639,-1.971594109,0.00000105556305459993 ,0.00004367046731648520 
Baz1a,1.846491959,0.00000108023286444428 ,0.00004457441302787830 
Cnn3,1.3219576,0.00000108379306807765 ,0.00004460485845807060 
Nab2,2.585093645,0.00000109996839537753 ,0.00004515298836505570 
Apod,-6.955339745,0.00000111824028722441 ,0.00004578411787382000 
Fam107b,3.517190315,0.00000112488236085391 ,0.00004586078195315070 
Tacc2,1.618033181,0.00000112591643873845 ,0.00004586078195315070 
Pls3,1.844775707,0.00000113097518260291 ,0.00004594841076055620 
